6000, 1, 1
6000, 101, 4
6000, 201, 17
6000, 301, 37
6000, 401, 60
6000, 501, 88
6000, 601, 129
6000, 701, 170
6000, 801, 252
6000, 901, 251
6000, 1001, 318
6000, 1101, 377
6000, 1201, 393
6000, 1301, 466
6000, 1401, 533
6000, 1501, 598
6000, 1601, 745
6000, 1701, 810
6000, 1801, 834
6000, 1901, 1064
6000, 2001, 1199
6000, 2101, 1294
6000, 2201, 1542
6000, 2301, 1872
6000, 2401, 1823
6000, 2501, 1732
6000, 2601, 2146
6000, 2701, 2416
6000, 2801, 2826
6000, 2901, 3111
6000, 3001, 3302
6000, 3101, 3130
6000, 3201, 3409
6000, 3301, 3691
6000, 3401, 3969
6000, 3501, 4527
6000, 3601, 4643
6000, 3701, 5715
6000, 3801, 5338
6000, 3901, 5433
6000, 4001, 5840
6000, 4101, 7697
6000, 4201, 6847
6000, 4301, 7240
6000, 4401, 7644
6000, 4501, 8560
6000, 4601, 8845
6000, 4701, 9787
6000, 4801, 10906
6000, 4901, 12907
6000, 5001, 11318
6000, 5101, 11500
6000, 5201, 12684
6000, 5301, 13596
6000, 5401, 14410
6000, 5501, 15019
6000, 5601, 16939
6000, 5701, 16418
6000, 5801, 19217
6000, 5901, 21522
6000, 6001, 24875
6000, 6101, 21460
6000, 6201, 21878
6000, 6301, 22128
6000, 6401, 27071
6000, 6501, 25471
6000, 6601, 23454
6000, 6701, 22018
6000, 6801, 20355
6000, 6901, 21214
6000, 7001, 20074
6000, 7101, 20228
6000, 7201, 20343
6000, 7301, 22393
6000, 7401, 20610
6000, 7501, 21541
6000, 7601, 21505
6000, 7701, 20335
6000, 7801, 20224
6000, 7901, 20696
6000, 8001, 19775
6000, 8101, 22672
6000, 8201, 21546
6000, 8301, 20746
6000, 8401, 20522
6000, 8501, 19776
6000, 8601, 21189
6000, 8701, 20474
6000, 8801, 20469
6000, 8901, 20535
6000, 9001, 20957
6000, 9101, 20785
6000, 9201, 21480
6000, 9301, 20249
6000, 9401, 19969
6000, 9501, 20537
6000, 9601, 21470
6000, 9701, 21081
6000, 9801, 19709
6000, 9901, 20382
